Year,Month,Day,Name,Location,Country,Latitude,Longitude,Elevation,Type,Status,Time,VEI,Agent,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION
2010,1,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2010,3,31.0,Eyjafjallajokull,Iceland-S,Iceland,63.63,-19.62,1666,Stratovolcano,Historical,D1,2.0,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
2010,5,27.0,Pacaya,Guatemala,Guatemala,14.381,-90.601,2552,Complex volcano,Historical,D1,1.0,T,1.0,1.0,3.0,1.0,,,,1.0,3.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,3.0,1.0
2010,5,29.0,Sarigan,Mariana Is-C Pacific,United States,16.708,145.78,538,Stratovolcano,Holocene,U,,,,,,,,,,,,,,,,,,,,,,
2010,8,6.0,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,3.0,,4.0,1.0,,,5.0,1.0,,,,1.0,4.0,1.0,,,5.0,1.0,,,,1.0
2010,8,30.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,2.0,1.0,,,,,,,,,2.0,1.0,,,,,,,,
2010,10,26.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,,367.0,3.0,,,277.0,3.0,600.0,4.0,,3.0,367.0,3.0,,,277.0,3.0,600.0,4.0,,3.0
2010,11,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,3.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2010,12,28.0,Tengger Caldera,Java,Indonesia,-7.942,112.95,2329,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,,,
2011,1,3.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,M,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,
2011,1,28.0,Kirishima,Kyushu-Japan,Japan,31.93,130.87,1700,Shield volcano,Historical,D1,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0,,
2011,2,23.0,Bulusan,Luzon-Philippines,Philippines,12.77,124.05,1565,Stratovolcano,Historical,D1,2.0,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2011,3,18.0,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,4,,Tungurahua,Ecuador,Ecuador,-1.467,-78.442,5023,Stratovolcano,Historical,D1,4.0,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,6,4.0,Puyehue,Chile-C,Chile,-40.59,-72.117,2236,Stratovolcano,Holocene,U,4.0,,,,,,,,,2.0,,,,,,,,,,2.0,,
2011,6,22.0,Nabro,Africa-NE,Eritrea,13.37,41.7,2218,Stratovolcano,Holocene,Unknown,3.0,,31.0,1.0,,,,3.0,,1.0,,,31.0,1.0,,,,3.0,,1.0,,
2011,7,9.0,Katla,Iceland-S,Iceland,63.63,-19.05,1512,Subglacial volcano,Historical,D2,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2011,7,17.0,Lokon-Empung,Sulawesi-Indonesia,Indonesia,1.358,124.792,1580,Stratovolcano,Historical,D1,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2011,12,27.0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1,3.0,m,4.0,1.0,,,,1.0,,,,,4.0,1.0,,,,1.0,,,,
2012,2,10.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,,,,,,,,,,2.0,,,,,,,,,,2.0,,
2012,3,2.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,,L,,,,,,,,1.0,1.0,1.0,,,,,,,,,,
2012,12,12.0,Tolbachik,Kamchatka,Russia,55.83,160.33,3682,Shield volcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,2,12.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,M,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,
2013,2,,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0
2013,5,7.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,,,5.0,1.0,,,8.0,1.0,,,,,5.0,1.0,,,8.0,1.0,,,,
2013,8,10.0,Paluweh,Lesser Sunda Is,Indonesia,-8.32,121.708,875,Stratovolcano,Historical,D1,3.0,,5.0,1.0,,,,,,,,,5.0,1.0,,,,,,,,
2013,9,1.0,Ubinas,Peru,Peru,-16.355,-70.903,5672,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,9,4.0,Sakura-jima,Kyushu-Japan,Japan,31.58,130.67,1117,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,,,,,,,,,1.0,,
2013,9,15.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,2.0,,,,,,,,,2.0,,,,,,,,,,2.0,,
2013,12,13.0,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1,,G,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2014,2,1.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,17.0,1.0,,,3.0,1.0,,1.0,,2.0,17.0,1.0,,,3.0,1.0,,1.0,,2.0
2014,2,13.0,Kelut,Java,Indonesia,-7.93,112.308,1731,Stratovolcano,Historical,D1,,,7.0,1.0,,,,,,3.0,4098.0,4.0,7.0,1.0,,,,,,3.0,4098.0,4.0
2014,9,27.0,On-take,Honshu-Japan,Japan,35.9,137.48,3063,Complex volcano,Historical,D1,3.0,,55.0,2.0,,,70.0,2.0,,,,,55.0,2.0,,,70.0,2.0,,,,
2014,11,10.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,,,,,,,,,14.5,3.0,1.0,1.0,,,,,,,14.5,3.0,1.0,1.0
2014,11,23.0,Fogo,Cape Verde Is,Cape Verde,14.95,-24.35,2829,Stratovolcano,Historical,D1,,,,,,,,,,2.0,230.0,3.0,,,,,,,,2.0,230.0,3.0
2014,12,18.0,Gamalama,Halmahera-Indonesia,Indonesia,0.8,127.325,1715,Stratovolcano,Historical,D1,,,1.0,1.0,,,4.0,1.0,,,,,1.0,1.0,,,4.0,1.0,,,,
2015,2,20.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0
2015,4,22.0,Calbuco,Chile-S,Chile,-41.326,-72.614,2003,Stratovolcano,Historical,D2,,,,,,,,,,2.0,,2.0,,,,,,,,2.0,,2.0
2015,5,7.0,Karangetang [Api Siau],Sangihe Is-Indonesia,Indonesia,2.78,125.48,1784,Stratovolcano,Historical,D1,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,1.0
2015,7,31.0,Manam,New Guinea-NE of,Papua New Guinea,-4.1,145.061,1807,Stratovolcano,Historical,D1,2.0,,,,,,2.0,1.0,,1.0,,,,,,,2.0,1.0,,1.0,,
2015,10,16.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,M,1.0,1.0,,,,,,1.0,,,1.0,1.0,,,,,,1.0,,
2015,10,,Okataina,New Zealand,New Zealand,-38.12,176.5,1111,Lava dome,Historical,D1,,I,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2016,5,9.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,1.0,1.0,,,4.0,1.0,,1.0,3.0,1.0,1.0,1.0,,,4.0,1.0,,1.0,,
2016,5,21.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,,7.0,1.0,,,3.0,1.0,100.0,4.0,,,7.0,1.0,,,3.0,1.0,100.0,4.0,,
2016,6,9.0,Yellowstone,US-Wyoming,United States,44.43,-110.67,2805,Caldera,Tephrochronology,D7,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,
2016,9,27.0,Rinjani,Lesser Sunda Is,Indonesia,-8.42,116.47,3726,Stratovolcano,Historical,D1,,,,,44.0,1.0,,,,,,,,,44.0,1.0,,,,,,
2016,10,8.0,Aso,Kyushu-Japan,Japan,32.88,131.1,1592,Caldera,Historical,D1,,T,,,,,,,,1.0,,,,,,,,,,1.0,,
2017,3,15.0,Etna,Italy,Italy,37.734,15.004,3350,Stratovolcano,Historical,D1,,P,,,,,10.0,1.0,,,,,,,,,10.0,1.0,,,,
2017,4,13.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,2.0,P,,,,,,,,1.0,,2.0,,,,,,,,1.0,,2.0
2017,6,6.0,Fuego,Guatemala,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,2.0,P,,,,,,,,2.0,,,,,,,,,,2.0,,
2017,7,1.0,Dieng Volc Complex,Java,Indonesia,-7.2,109.92,2565,Complex volcano,Historical,D1,,,8.0,1.0,,,11.0,1.0,,,,,8.0,1.0,,,11.0,1.0,,,,
2017,9,12.0,Campi Flegrei,Italy,Italy,40.827,14.139,458,Caldera,Historical,D5,,,3.0,1.0,,,,,,,,,3.0,1.0,,,,,,,,
2017,9,23.0,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,Historical,D1,,T,,,,,,,,1.0,,,,,,,,,,1.0,,
2017,12,18.0,Merapi,Java,Indonesia,-7.542,110.442,2947,Stratovolcano,Historical,D1,,A,8.0,1.0,,,8.0,1.0,,,,,8.0,1.0,,,8.0,1.0,,,,
2017,12,27.0,Sinabung,Sumatra,Indonesia,3.17,98.392,2460,Stratovolcano,Holocene,U,,T,,,,,,,,2.0,,,,,,,,,,2.0,,
2018,1,5.0,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene,U,,T,,,,,,,,1.0,,,,,,,,,,1.0,,
2018,1,13.0,Mayon,Luzon-Philippines,Philippines,13.257,123.685,2462,Stratovolcano,Historical,D1,,"T,P",,,,,1972.0,4.0,3.72,2.0,,,,,,,1972.0,4.0,3.72,2.0,,
2018,1,23.0,Kusatsu-Shirane,Honshu-Japan,Japan,36.62,138.55,2176,Stratovolcano,Historical,D1,,T,1.0,1.0,,,11.0,1.0,,1.0,,,1.0,1.0,,,11.0,1.0,,1.0,,
2018,2,1.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,1.0,G,1.0,1.0,,,3.0,1.0,,,,,1.0,1.0,,,3.0,1.0,,,,
2018,2,9.0,Kadovar,New Guinea-NE of,Papua New Guinea,-3.62,144.62,365,Stratovolcano,Holocene,U,,W,,,,,,,,,,,,,,,,,,,,
2018,3,21.0,Ijen,Java,Indonesia,-8.058,114.242,2799,Stratovolcano,Historical,D1,,G,,,,,30.0,1.0,,,,,,,,,30.0,1.0,,,,
2018,4,28.0,Kilauea,Hawaiian Is,United States,19.425,-155.292,1222,Shield volcano,Historical,D1,1.0,L,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,2.0,1.0
2018,4,,Aoba,Vanuatu-SW Pacific,Vanuatu,-15.4,167.83,1496,Shield volcano,Historical,D1,3.0,"T,G",4.0,1.0,,,,,,1.0,,1.0,4.0,1.0,,,,,,1.0,,1.0
